Codigo,Descripcion,PRECIO1,PRECIO2,PRECIO3,PRECIO4,PRECIO5,PRECIO6,PRECIO7,PRECIO8,PRECIO9,PRECIO10
COFI0185,POLLITAS INICIACION,108039.7802,104822.3297,101476.9362,103490.7368,98634.25532,0,0,0,0,0
COFI0068,FINCA FASE I PIGMENTO,110165.2747,106880.7033,103469.617,105526.7368,100691.9149,0,0,0,0,0
COFI0023,FINCA FASE I PIGMENTO,110603.7363,107305.3187,103880.6809,105946.7368,101116.383,0,0,0,0,0
COFI0112,FINCA HUEVOS,102352.3077,99314.46154,96144.85106,98042.73684,93128.29787,0,0,0,0,0
COFI00102,FINCA HUEVOS,102790.7692,99739.07692,96555.91489,98462.73684,93552.76596,0,0,0,0,0
COFI0044,FINCA HUEVOS (Paca x 20 Unid),2668.945055,2589.520879,2506.876596,2556.568421,2434.829787,0,0,0,0,0
COFI0053,FINCA HUEVOS PEQUEÑO PRODUCTOR,84842.03297,82357.14286,79728.7234,81269.73684,76176.8617,0,0,0,0,0
COFI0053,FINCA HUEVOS PEQUEÑO PRODUCTOR,84842.03297,82357.14286,79728.7234,81269.73684,76176.8617,0,0,0,0,0
COFI0055,FINCA HUEVOS PEQUEÑO PRODUCTOR (Paca x 20 Unid),2220.252747,2154.997802,2086.221277,2126.768421,2000.457447,0,0,0,0,0
COFI0207,FINCA CODORNICES,115744.1758,112283.4286,108699.9149,110870.7368,106092.766,0,0,0,0,0
COFI0181,FINCA HUEVOS X 40 SIN FLETE,93128.29787,0,0,0,0,0,0,0,0,0
COFI0184,FINCA HUEVOS PEQ. PROD X 40 SIN FLETE,76176.8617,0,0,0,0,0,0,0,0,0
COFI0186,FINCA POLLITAS INICIACION X 40 KL SIN TRANSPORTE,98634.25532,0,0,0,0,0,0,0,0,0
COFI0187,FINCA FASE 1 GRAN X 40K SIN TRANSPORTE,100691.9149,0,0,0,0,0,0,0,0,0
COFI0107,FINCA POLLITOS B.B.,131396.2088,127441.1868,123373.9149,125863.7368,121245.266,0,0,0,0,0
COFI02222,FINCA BROILER,131396.2088,127441.1868,123373.9149,125863.7368,121245.266,0,0,0,0,0
COFI0108,FINCA BROILER,131396.2088,127441.1868,123373.9149,125863.7368,121245.266,0,0,0,0,0
COFI0219,FINCA BROILER PIGMENTO,139583.956,135370.3736,131050.0426,133706.7368,129171.7021,0,0,0,0,0
COFI0026,FINCA INICIACION PARRILLERO,121457.7473,117816.5714,114056.4681,116343.7368,111623.9894,0,0,0,0,0
COFI0025,FINCA INICIACION PARRILLERO (Paca x 20 Unid),62712.91209,3041.483516,2944.414894,3003.618421,2886.635638,0,0,0,0,0
COFI0287,POLLO INICIACION,104796.2088,101681.1868,98436.04255,100383.7368,95494.20213,0,0,0,0,0
COFI0286,FINCA POLLO ENGORDE,104142.6923,101048.3077,97823.3617,99757.73684,94861.54255,0,0,0,0,0
COFI0024,FINCA ENGORDE PARRILLERO,6153.846154,6153.846154,5957.446809,5894.736842,0,0,0,0,0,0
COFI0027,FINCA ENGORDE PARRILLERO (Paca x 20 Unid),153.8461538,153.8461538,148.9361702,147.3684211,0,0,0,0,0,0
COFI0067,FINCA POLLO CAMPESINO (Paca x 20 Unid),2375.228022,2305.079121,2231.512766,2275.218421,2150.486702,0,0,0,0,0
COFI0028,FINCA POLLO CAMPESINO,91041.04396,88360.3956,85540.38298,87207.73684,82178.03191,0,0,0,0,0
COFI0129,FINCA POLLO CAMPESINO SIN TRANS,82178.03191,0,0,0,0,0,0,0,0,0
COFI0130,FINCA POLLO CAMPESINO X K SIN TRANS,2150.486702,0,0,0,0,0,0,0,0,0
COFI0176,FINCA INICIACION PARRILLERO KILO SIN FLETE,2886.635638,0,0,0,0,0,0,0,0,0
COFI0196,INICIACION PARRILLERO 40 K SIN FLETE,111623.9894,0,0,0,0,0,0,0,0,0
COFI0199,FINCA POLLITOS B.B GRANULADO X 40 KL SIN TRANSPORTE,121245.266,0,0,0,0,0,0,0,0,0
COFI0220,FINCA BROILER PIGMENTO SIN FLETE,129171.7021,0,0,0,0,0,0,0,0,0
COFI02223,F. BROILER GRANULADO x 40 GRANULADO-SIN FLETE,121245.266,0,0,0,0,0,0,0,0,0
COFI0065,TERNERAS NODRIZA,115453.956,112002.3736,108427.8298,110592.7368,105811.8085,0,0,0,0,0
COFI0070,TERNERAS NODRIZA,101153.8462,98153.84615,95021.2766,96894.73684,91968.08511,0,0,0,0,0
COFI00104,FINCA NOVILLAS DESARROLLO,87027.03297,84473.14286,81777.19149,83362.73684,78292.12766,0,0,0,0,0
COFI0096,TOROS EXPOSICION,93464.06593,90706.9011,87812,89528.73684,84523.7234,0,0,0,0,0
COFI0066,VACAS PRELACTANCIA,89926.0989,87280.65934,84495.10638,86139.73684,81098.67021,0,0,0,0,0
COFI0285,VACAS PRELACTANCIA G203,132519.5055,128529.011,124427.0213,126939.7368,122332.7128,0,0,0,0,0
COFI0017,LECHE STANDARD 70,87228.51648,84668.26374,81966.08511,83555.73684,78487.18085,0,0,0,0,0
COFI0097,LECHE STANDARD 70,86184.56044,83657.27473,80987.3617,82555.73684,77476.54255,0,0,0,0,0
COFI0104,LECHE STANDARD 72,91157.96703,88473.62637,85650,87319.73684,82291.2234,0,0,0,0,0
COFI0103,LECHE STANDARD 72,90114.01099,87462.63736,84671.2766,86319.73684,81280.58511,0,0,0,0,0
COFI0018,LECHE STANDARD 75,97933.24176,95034.94505,92001.91489,93809.73684,88850.26596,0,0,0,0,0
COFI0054,LECHE STANDARD 75,96889.28571,94023.95604,91023.19149,92809.73684,87839.62766,0,0,0,0,0
COFI0075,LECHE STANDARD FORMULA 1,105517.5824,102379.7802,99112.34043,101074.7368,96192.55319,0,0,0,0,0
COFI0045,FINCA CAMPO LECHE,73889.89011,71750.85714,69460.93617,70778.73684,65574.25532,0,0,0,0,0
COFI00100,FINCA CAMPO LECHE,72845.93407,70739.86813,68482.21277,69778.73684,64563.61702,0,0,0,0,0
COFI0019,LECHE 14-16,79304.89011,76994.85714,74537.57447,75965.73684,70816.43617,0,0,0,0,0
COFI0052,LECHE 14-16,78260.93407,75983.86813,73558.85106,74965.73684,69805.79787,0,0,0,0,0
COFI0123,LECHE 14-16 ENERGIA ,82271.81319,79868.08791,77319.10638,78807.73684,73688.67021,0,0,0,0,0
COFI0125,LECHE 14-16 ENERGIA ,81227.85714,78857.0989,76340.38298,77807.73684,72678.03191,0,0,0,0,0
COFI0077,FINCA RENTALECHE,64374.23077,62535.69231,60539.87234,61663.73684,56362.28723,0,0,0,0,0
COFI0205,FINCA RENTALECHE,65418.18681,63546.68132,61518.59574,62663.73684,57372.92553,0,0,0,0,0
