codigointerno,descripcion
P13N2C20            ,TIBIA NAVIGATOR                                                                                     
P13NAC1             ,ARIX FUSION CARPAL                                                                             
P13NAC10            ,ARIX FIBULA 1                                                                                  
P13NAC11            ,ARIX FIBULA 2                                                                                  
P13NAC12            ,ARIX HOOK                                                                                      
P13NAC13            ,ARIX CALCANEO 1                                                                                
P13NAC2             ,ARIX CLAVICULA 1                                                                               
P13NAC3             ,ARIX CLAVICULA 2                                                                               
P13NAC4             ,ARIX DIAFISIS                                                                                  
P13NAC5             ,ARIX RADIO DISTAL                                                                              
P13NAC6             ,ARIX RADIO DISTAL OPTIMA                                                                       
P13NAC7             ,ARIX MANO 1                                                                                    
P13NAC8             ,ARIX MANO 2                                                                                    
